exp_name,seed,iteration,n_blocks,n_target_examples,n_source_examples,train_set_size,target_fraction,eval_set,entity_f1_micro,entity_f1_macro,entity_f1_weighted,entity_precision,entity_recall,token_f1,token_acc,eval_loss,delta_f1_vs_iter0,f1_Archive,f1_CelestialObject,f1_CelestialObjectRegion,f1_CelestialRegion,f1_Citation,f1_Collaboration,f1_ComputingFacility,f1_Database,f1_Dataset,f1_EntityOfFutureInterest,f1_Event,f1_Fellowship,f1_Formula,f1_Grant,f1_Identifier,f1_Instrument,f1_LOC,f1_Mission,f1_Model,f1_ORG,f1_ObservationalTechniques,f1_Observatory,f1_PER,f1_Proposal,f1_Software,f1_Survey,f1_Tag,f1_Telescope,f1_TextGarbage,f1_URL,f1_Wavelength,support_Archive,support_CelestialObject,support_CelestialObjectRegion,support_CelestialRegion,support_Citation,support_Collaboration,support_ComputingFacility,support_Database,support_Dataset,support_EntityOfFutureInterest,support_Event,support_Fellowship,support_Formula,support_Grant,support_Identifier,support_Instrument,support_LOC,support_Mission,support_Model,support_ORG,support_ObservationalTechniques,support_Observatory,support_PER,support_Proposal,support_Software,support_Survey,support_Tag,support_Telescope,support_TextGarbage,support_URL,support_Wavelength,best_epoch,train_time_sec,peak_gpu_mem_mb
iter_astro,42,0,0,0,12543,12543,0.0,ewt_dev,0.8048899755501223,0.7941806235568846,0.8061730829961155,0.76274328081557,0.8519668737060041,0.8876662699777549,0.9843731361087916,0.0708932382884317,0.0,,,,,,,,,,,,,,,,,0.8038976857490864,,,0.7014028056112225,,,0.8772413793103448,,,,,,,,,,,,,,,,,,,,,,,,,399,,,224,,,343,,,,,,,,,7,1024.4029638767242,5586
iter_astro,42,0,0,0,12543,12543,0.0,conll_test,0.702272958923657,0.6847807561524197,0.6830906648451208,0.7081192189105858,0.6965224423776789,0.8010644047577093,0.9522558414988694,0.30385772204371514,0.0,,,,,,,,,,,,,,,,,0.6937229437229436,,,0.48443432042520884,,,0.8761850043091066,,,,,,,,,,,,,,,,,,,,,,,,,1668,,,1661,,,1617,,,,,,,,,7,1024.4029638767242,5586
iter_astro,42,0,0,0,12543,12543,0.0,astro_test,0.3099096164807426,0.046602203050845045,0.1991014094242204,0.49027437846193483,0.2265611048276683,0.08726896882342812,0.8419955251575908,1.9960348650813102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29511323003575685,0.0,0.0,0.5753790489317712,0.0,0.0,0.5741760156086684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324,2419,484,148,6042,360,588,297,339,304,55,594,2401,5038,146,813,2097,170,2366,10436,61,1141,5940,159,1112,915,74,1881,192,350,3151,7,1024.4029638767242,5586
iter_astro,42,1,5,5,12543,12548,0.0003984698756773988,ewt_dev,0.7932098765432098,0.7802509836054853,0.7957291900648461,0.7883435582822086,0.7981366459627329,0.875386804530371,0.9837766909221043,0.10224345550811868,-0.01168009900691247,,,,,,,,,,,,,,,,,0.7969735182849936,,,0.6624737945492664,,,0.8813056379821959,,,,,,,,,,,,,,,,,,,,,,,,,399,,,224,,,343,,,,,,,,,15,1635.5533425807953,11767
iter_astro,42,1,5,5,12543,12548,0.0003984698756773988,conll_test,0.7157349896480332,0.7059420299279703,0.7040062949555688,0.7333474756045821,0.6989486453699959,0.8121060329691502,0.9526650156132228,0.38068494147241666,0.013462030724376128,,,,,,,,,,,,,,,,,0.6981476650143491,,,0.4973821989528795,,,0.9222962258166826,,,,,,,,,,,,,,,,,,,,,,,,,1668,,,1661,,,1617,,,,,,,,,15,1635.5533425807953,11767
iter_astro,42,1,5,5,12543,12548,0.0003984698756773988,astro_test,0.3635121996388722,0.07413837273777946,0.27983469032395714,0.43620656129336927,0.31158600710359746,0.13896644517133103,0.8767090481581469,1.3799981947988271,0.0536025831581296,0.0,0.0,0.0,0.0,0.5407449693163978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012065294535131298,0.010526315789473684,0.0,0.0,0.43833652007648183,0.0,0.03334402051939724,0.519637241278432,0.0,0.0,0.7133148272231263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03032036613272311,324,2419,484,148,6042,360,588,297,339,304,55,594,2401,5038,146,813,2097,170,2366,10436,61,1141,5940,159,1112,915,74,1881,192,350,3151,15,1635.5533425807953,11767
iter_astro,42,2,10,10,12543,12553,0.0007966223213574444,ewt_dev,0.7899244332493702,0.7760971468782462,0.790004663228008,0.7693817468105987,0.8115942028985508,0.868526099273714,0.9832597717603085,0.09624000928883944,-0.014965542300752088,,,,,,,,,,,,,,,,,0.7953667953667953,,,0.6722689075630252,,,0.860655737704918,,,,,,,,,,,,,,,,,,,,,,,,,399,,,224,,,343,,,,,,,,,13,1539.2925446033478,11772
iter_astro,42,2,10,10,12543,12553,0.0007966223213574444,conll_test,0.7354985991491128,0.717924815234022,0.716487410822812,0.7554892347047538,0.7165386170642943,0.8197366876306666,0.9554430924948853,0.37381337051327274,0.03322564022545571,,,,,,,,,,,,,,,,,0.7387186629526462,,,0.5322455322455323,,,0.8828102505038871,,,,,,,,,,,,,,,,,,,,,,,,,1668,,,1661,,,1617,,,,,,,,,13,1539.2925446033478,11772
iter_astro,42,2,10,10,12543,12553,0.0007966223213574444,astro_test,0.39080190337779236,0.07767946832584678,0.2940373971428094,0.47736578382247674,0.33081334206401175,0.1415268668296067,0.8780655684992531,1.1387431278824807,0.08089228689704975,0.0,0.04313280363223609,0.0,0.0,0.5025068223646634,0.0,0.016597510373443983,0.0,0.0,0.0,0.0,0.0,0.07362885048835462,0.03952011291460832,0.0,0.0,0.35973207249802996,0.0,0.01234567901234568,0.5466404027139418,0.0,0.0,0.8029332304129678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110260336906585,324,2419,484,148,6042,360,588,297,339,304,55,594,2401,5038,146,813,2097,170,2366,10436,61,1141,5940,159,1112,915,74,1881,192,350,3151,13,1539.2925446033478,11772
iter_astro,42,3,15,15,12543,12558,0.0011944577161968467,ewt_dev,0.7840327533265097,0.7642402362047939,0.7858537726622167,0.7753036437246964,0.7929606625258799,0.866832376573891,0.9828621416358503,0.09159154542869637,-0.020857222223612637,,,,,,,,,,,,,,,,,0.7990074441687346,,,0.6051502145922746,,,0.8885630498533723,,,,,,,,,,,,,,,,,,,,,,,,,399,,,224,,,343,,,,,,,,,12,1526.9973759651184,11789
